country,iso3,gadm_gid1,gadm_name1,canonical_pcode,acled_admin1,acled_aliases,dtm_pcode,dtm_name,match_method,notes
CentralAfricanRepublic,CAF,CAF.10_1,Nana-Grébizi,CAF.10_1,Nana-Grebizi,,,,normalized,
CentralAfricanRepublic,CAF,CAF.11_1,Nana-Mambéré,CAF.11_1,Nana-Mambere,,,,normalized,
CentralAfricanRepublic,CAF,CAF.12_1,Ombella-M'Poko,CAF.12_1,Ombella-M'Poko,,,,exact,
CentralAfricanRepublic,CAF,CAF.13_1,Ouaka,CAF.13_1,Ouaka,,,,exact,
CentralAfricanRepublic,CAF,CAF.14_1,Ouham-Pendé,CAF.14_1,Ouham-Pende,,,,normalized,
CentralAfricanRepublic,CAF,CAF.15_1,Ouham,CAF.15_1,Ouham,,,,exact,
CentralAfricanRepublic,CAF,CAF.16_1,Sangha-Mbaéré,CAF.16_1,Sangha-Mbaere,,,,normalized,
CentralAfricanRepublic,CAF,CAF.17_1,Vakaga,CAF.17_1,Vakaga,,,,exact,
CentralAfricanRepublic,CAF,CAF.1_1,Bamingui-Bangoran,CAF.1_1,Bamingui-Bangoran,,,,exact,
CentralAfricanRepublic,CAF,CAF.2_1,Bangui,CAF.2_1,Bangui,,,,exact,
CentralAfricanRepublic,CAF,CAF.3_1,Basse-Kotto,CAF.3_1,Basse-Kotto,,,,exact,
CentralAfricanRepublic,CAF,CAF.4_1,Haut-Mbomou,CAF.4_1,Haut-Mbomou,,,,exact,
CentralAfricanRepublic,CAF,CAF.5_1,Haute-Kotto,CAF.5_1,Haute-Kotto,,,,exact,
CentralAfricanRepublic,CAF,CAF.6_1,Kémo,CAF.6_1,Kemo,,,,normalized,
CentralAfricanRepublic,CAF,CAF.7_1,Lobaye,CAF.7_1,Lobaye,,,,exact,
CentralAfricanRepublic,CAF,CAF.8_1,Mambéré-Kadéï,CAF.8_1,Mambere-Kadei,,,,normalized,
CentralAfricanRepublic,CAF,CAF.9_1,Mbomou,CAF.9_1,Mbomou,,,,exact,
Egypt,EGY,EGY.10_1,AlMinya,EGY.10_1,,,,,unmatched,no ACLED admin1 match — see decision block 6
Egypt,EGY,EGY.11_1,AlQahirah,EGY.11_1,,,,,unmatched,no ACLED admin1 match — see decision block 6
Egypt,EGY,EGY.12_1,AlQalyubiyah,EGY.12_1,,,,,unmatched,no ACLED admin1 match — see decision block 6
Egypt,EGY,EGY.13_1,AlUqsur,EGY.13_1,,,,,unmatched,no ACLED admin1 match — see decision block 6
Egypt,EGY,EGY.14_1,AlWadialJadid,EGY.14_1,,,,,unmatched,no ACLED admin1 match — see decision block 6
Egypt,EGY,EGY.15_1,AsSuways,EGY.15_1,,,,,unmatched,no ACLED admin1 match — see decision block 6
Egypt,EGY,EGY.16_1,AshSharqiyah,EGY.16_1,,,,,unmatched,no ACLED admin1 match — see decision block 6
Egypt,EGY,EGY.17_1,Aswan,EGY.17_1,Aswan,,,,exact,
Egypt,EGY,EGY.18_1,Asyut,EGY.18_1,,,,,unmatched,no ACLED admin1 match — see decision block 6
Egypt,EGY,EGY.19_1,BaniSuwayf,EGY.19_1,,,,,unmatched,no ACLED admin1 match — see decision block 6
Egypt,EGY,EGY.1_1,AdDaqahliyah,EGY.1_1,,,,,unmatched,no ACLED admin1 match — see decision block 6
Egypt,EGY,EGY.20_1,BurSa`id,EGY.20_1,,,,,unmatched,no ACLED admin1 match — see decision block 6
Egypt,EGY,EGY.21_1,Dumyat,EGY.21_1,,,,,unmatched,no ACLED admin1 match — see decision block 6
Egypt,EGY,EGY.22_1,JanubSina',EGY.22_1,,,,,unmatched,no ACLED admin1 match — see decision block 6
Egypt,EGY,EGY.23_1,KafrashShaykh,EGY.23_1,,,,,unmatched,no ACLED admin1 match — see decision block 6
Egypt,EGY,EGY.24_1,Matrouh,EGY.24_1,Matrouh,,,,exact,
Egypt,EGY,EGY.25_1,Qina,EGY.25_1,,,,,unmatched,no ACLED admin1 match — see decision block 6
Egypt,EGY,EGY.26_1,ShamalSina',EGY.26_1,,,,,unmatched,no ACLED admin1 match — see decision block 6
Egypt,EGY,EGY.27_1,Suhaj,EGY.27_1,,,,,unmatched,no ACLED admin1 match — see decision block 6
Egypt,EGY,EGY.2_1,AlBahralAhmar,EGY.2_1,,,,,unmatched,no ACLED admin1 match — see decision block 6
Egypt,EGY,EGY.3_1,AlBuhayrah,EGY.3_1,,,,,unmatched,no ACLED admin1 match — see decision block 6
Egypt,EGY,EGY.4_1,AlFayyum,EGY.4_1,,,,,unmatched,no ACLED admin1 match — see decision block 6
